,Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Class,prediction
14,5.8,4.0,1.2,0.2,Iris-setosa,Iris-setosa
98,5.1,2.5,3.0,1.1,Iris-versicolor,Iris-versicolor
75,6.6,3.0,4.4,1.4,Iris-versicolor,Iris-versicolor
16,5.4,3.9,1.3,0.4,Iris-setosa,Iris-setosa
131,7.9,3.8,6.4,2.0,Iris-virginica,Iris-virginica
56,6.3,3.3,4.7,1.6,Iris-versicolor,Iris-versicolor
141,6.9,3.1,5.1,2.3,Iris-virginica,Iris-virginica
44,5.1,3.8,1.9,0.4,Iris-setosa,Iris-setosa
29,4.7,3.2,1.6,0.2,Iris-setosa,Iris-setosa
120,6.9,3.2,5.7,2.3,Iris-virginica,Iris-virginica
94,5.6,2.7,4.2,1.3,Iris-versicolor,Iris-versicolor
5,5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
102,7.1,3.0,5.9,2.1,Iris-virginica,Iris-virginica
51,6.4,3.2,4.5,1.5,Iris-versicolor,Iris-versicolor
78,6.0,2.9,4.5,1.5,Iris-versicolor,Iris-versicolor
42,4.4,3.2,1.3,0.2,Iris-setosa,Iris-setosa
92,5.8,2.6,4.0,1.2,Iris-versicolor,Iris-versicolor
66,5.6,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
31,5.4,3.4,1.5,0.4,Iris-setosa,Iris-setosa
35,5.0,3.2,1.2,0.2,Iris-setosa,Iris-setosa
90,5.5,2.6,4.4,1.2,Iris-versicolor,Iris-versicolor
84,5.4,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
77,6.7,3.0,5.0,1.7,Iris-versicolor,Iris-versicolor
40,5.0,3.5,1.3,0.3,Iris-setosa,Iris-setosa
125,7.2,3.2,6.0,1.8,Iris-virginica,Iris-virginica
99,5.7,2.8,4.1,1.3,Iris-versicolor,Iris-versicolor
33,5.5,4.2,1.4,0.2,Iris-setosa,Iris-setosa
19,5.1,3.8,1.5,0.3,Iris-setosa,Iris-setosa
73,6.1,2.8,4.7,1.2,Iris-versicolor,Iris-versicolor
146,6.3,2.5,5.0,1.9,Iris-virginica,Iris-virginica
91,6.1,3.0,4.6,1.4,Iris-versicolor,Iris-versicolor
135,7.7,3.0,6.1,2.3,Iris-virginica,Iris-virginica
69,5.6,2.5,3.9,1.1,Iris-versicolor,Iris-versicolor
128,6.4,2.8,5.6,2.1,Iris-virginica,Iris-virginica
114,5.8,2.8,5.1,2.4,Iris-virginica,Iris-virginica
48,5.3,3.7,1.5,0.2,Iris-setosa,Iris-setosa
53,5.5,2.3,4.0,1.3,Iris-versicolor,Iris-versicolor
28,5.2,3.4,1.4,0.2,Iris-setosa,Iris-setosa
54,6.5,2.8,4.6,1.5,Iris-versicolor,Iris-versicolor
108,6.7,2.5,5.8,1.8,Iris-virginica,Iris-virginica
112,6.8,3.0,5.5,2.1,Iris-virginica,Iris-virginica
17,5.1,3.5,1.4,0.3,Iris-setosa,Iris-setosa
119,6.0,2.2,5.0,1.5,Iris-virginica,Iris-versicolor
103,6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
58,6.6,2.9,4.6,1.3,Iris-versicolor,Iris-versicolor
118,7.7,2.6,6.9,2.3,Iris-virginica,Iris-virginica
18,5.7,3.8,1.7,0.3,Iris-setosa,Iris-setosa
4,5.0,3.6,1.4,0.2,Iris-setosa,Iris-setosa
45,4.8,3.0,1.4,0.3,Iris-setosa,Iris-setosa
59,5.2,2.7,3.9,1.4,Iris-versicolor,Iris-versicolor
39,5.1,3.4,1.5,0.2,Iris-setosa,Iris-setosa
36,5.5,3.5,1.3,0.2,Iris-setosa,Iris-setosa
117,7.7,3.8,6.7,2.2,Iris-virginica,Iris-virginica
139,6.9,3.1,5.4,2.1,Iris-virginica,Iris-virginica
107,7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
132,6.4,2.8,5.6,2.2,Iris-virginica,Iris-virginica
126,6.2,2.8,4.8,1.8,Iris-virginica,Iris-virginica
85,6.0,3.4,4.5,1.6,Iris-versicolor,Iris-versicolor
122,7.7,2.8,6.7,2.0,Iris-virginica,Iris-virginica
95,5.7,3.0,4.2,1.2,Iris-versicolor,Iris-versicolor
11,4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
113,5.7,2.5,5.0,2.0,Iris-virginica,Iris-virginica
123,6.3,2.7,4.9,1.8,Iris-virginica,Iris-virginica
12,4.8,3.0,1.4,0.1,Iris-setosa,Iris-setosa
2,4.7,3.2,1.3,0.2,Iris-setosa,Iris-setosa
104,6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
6,4.6,3.4,1.4,0.3,Iris-setosa,Iris-setosa
127,6.1,3.0,4.9,1.8,Iris-virginica,Iris-virginica
110,6.5,3.2,5.1,2.0,Iris-virginica,Iris-virginica
65,6.7,3.1,4.4,1.4,Iris-versicolor,Iris-versicolor
55,5.7,2.8,4.5,1.3,Iris-versicolor,Iris-versicolor
144,6.7,3.3,5.7,2.5,Iris-virginica,Iris-virginica
138,6.0,3.0,4.8,1.8,Iris-virginica,Iris-virginica
46,5.1,3.8,1.6,0.2,Iris-setosa,Iris-setosa
62,6.0,2.2,4.0,1.0,Iris-versicolor,Iris-versicolor
74,6.4,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
116,6.5,3.0,5.5,1.8,Iris-virginica,Iris-virginica
93,5.0,2.3,3.3,1.0,Iris-versicolor,Iris-versicolor
100,6.3,3.3,6.0,2.5,Iris-virginica,Iris-virginica
89,5.5,2.5,4.0,1.3,Iris-versicolor,Iris-versicolor
10,5.4,3.7,1.5,0.2,Iris-setosa,Iris-setosa
34,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
32,5.2,4.1,1.5,0.1,Iris-setosa,Iris-setosa
124,6.7,3.3,5.7,2.1,Iris-virginica,Iris-virginica
38,4.4,3.0,1.3,0.2,Iris-setosa,Iris-setosa
83,6.0,2.7,5.1,1.6,Iris-versicolor,Iris-versicolor
111,6.4,2.7,5.3,1.9,Iris-virginica,Iris-virginica
149,5.9,3.0,5.1,1.8,Iris-virginica,Iris-virginica
27,5.2,3.5,1.5,0.2,Iris-setosa,Iris-setosa
23,5.1,3.3,1.7,0.5,Iris-setosa,Iris-setosa
